FilePath,LOC,Layer,UsageCount,Dependents
lib/constants/known_ingredients.dart,569,other,1,"lib/utils/text/ingredient_normalizer.dart"
lib/constants/preparation_words.dart,246,other,1,"lib/utils/text/ingredient_normalizer.dart"
lib/core/base/base_action_handler.dart,383,core,2,"lib/views/social/collaborative_shopping/collaborative_shopping_actions.dart;lib/views/social/friend_requests/friend_request_actions_refactored.dart"
lib/core/base/base_service.dart,494,core,37,"lib/services/account/account_deletion_service.dart;lib/services/account/consent_service.dart;lib/services/account/data_export_service.dart;lib/services/analytics_service.dart;lib/services/backup_service.dart;lib/services/content_detector_service.dart;lib/services/deep_link_service.dart;lib/services/dialog_service.dart;lib/services/group_shared_content_service.dart;lib/services/image_picker_service.dart;lib/services/menu_service.dart;lib/services/messaging_media_service.dart;lib/services/messaging_service.dart;lib/services/notifications/notification_service.dart;lib/services/ocr_extraction_service.dart;lib/services/performance/performance_monitoring_service.dart;lib/services/permission_service.dart;lib/services/persistence_service.dart;lib/services/presence_service.dart;lib/services/realtime_sync_service.dart;lib/services/recommendation_service.dart;lib/services/search_service.dart;lib/services/share_service.dart;lib/services/social/activity_service.dart;lib/services/storage_service.dart;lib/services/unified/modules/social_coordination/base_social_coordinator.dart;lib/services/unified/modules/social_recipe/social_recipe_coordinator.dart;lib/services/unified/modules/social_recipe/social_recipe_creation_service.dart;lib/services/unified/modules/social_recipe/social_recipe_membership_service.dart;lib/services/unified/modules/social_recipe/social_recipe_permission_service.dart;lib/services/unified/modules/social_recipe/social_recipe_query_service.dart;lib/services/unified/modules/social_recipe/social_recipe_sharing_service.dart;lib/services/unified/modules/social_recipe_module.dart;lib/services/unified/operations/friends_management_operations.dart;lib/services/unified/operations/modules/recipe_discovery_service.dart;lib/services/unified/operations/realtime_recipe_operations.dart;lib/services/upload/image_upload_service.dart"
lib/core/bootstrap/application_bootstrap.dart,489,core,5,"lib/core/providers/application_provider.dart;lib/main.dart;lib/main_e2e_emulator.dart;lib/main_e2e_mock.dart;lib/main_e2e_staging.dart"
lib/core/bootstrap/handlers/deep_link_handler.dart,271,core,1,"lib/main.dart"
lib/core/bootstrap/stages/bootstrap_stage.dart,156,core,6,"lib/core/bootstrap/application_bootstrap.dart;lib/core/bootstrap/stages/content_stage.dart;lib/core/bootstrap/stages/core_stage.dart;lib/core/bootstrap/stages/platform_stage.dart;lib/core/bootstrap/stages/social_stage.dart;lib/core/bootstrap/stages/ui_stage.dart"
lib/core/bootstrap/stages/content_stage.dart,73,core,4,"lib/main.dart;lib/main_e2e_emulator.dart;lib/main_e2e_mock.dart;lib/main_e2e_staging.dart"
lib/core/bootstrap/stages/core_stage.dart,72,core,4,"lib/main.dart;lib/main_e2e_emulator.dart;lib/main_e2e_mock.dart;lib/main_e2e_staging.dart"
lib/core/bootstrap/stages/platform_stage.dart,77,core,4,"lib/main.dart;lib/main_e2e_emulator.dart;lib/main_e2e_mock.dart;lib/main_e2e_staging.dart"
