tag,regel,notes
enkel,<=6 ingredienser AND <=30 min AND enkla tekniker,
medel,7-12 ingredienser OR 30-60 min OR medium tekniker,
avancerad,>12 ingredienser OR >60 min OR avancerade tekniker,
krämig,grädde OR crème fraiche OR kokosmjölk + såskontext,
krispig,friterad OR 'krispig' i instruktioner,
ostig,ost som huvudingrediens (>=100g),
kall-rätt,"ingen värmebehandling, serveras kall",
varm-rätt,"värmebehandling, serveras varm",
grönsaksrik,>=3 grönsaker som huvudingredienser,
örtig,>=2 färska örter,
proteinrik,protein-ingrediens >=200g per portion,
fiberrik,baljväxter OR fullkorn som bas,
matlådevänlig,"håller sig bra, lätt att värma, inte sallad",
frysvänlig,inga ingredienser med doesnt-freeze-well,EXPERIMENTAL: Kräver doesnt-freeze-well property. 
storkok,portioner >= 6 OR 'storkok' i titel,
klimatsmart,Alla huvudingredienser har carbon_footprint_category = 'low' ELLER 'medium',Baseras på ingrediensernas carbon_footprint_category. Inga high-impact ingredienser.
budgetvänlig,Alla huvudingredienser har price_category = 'budget' ELLER 'standard',Baseras på ingrediensernas price_category. Inga premium-ingredienser.
